Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Energie moyenne journalière des consommations totales (Wh/jour);Energie moyenne journalière des consommations HTA télérelevées à courbe de charge (Wh/jour);Energie moyenne journalière des consommations totales profilées (Wh/jour);Energie moyenne journalière des consommations HTA profilées (Wh/jour);Energie moyenne journalière des consommations PME-PMI profilées (Wh/jour);Energie moyenne journalière des consommations professionnelles profilées (Wh/jour);Energie moyenne journalière des consommations résidentielles profilées (Wh/jour);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°Celcius);Température moyenne journalière normale lissée (°Celcius);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Energie moyenne journalière des consommations HTA totales (Wh/jour);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2014-08-17;8;23959617188.0;1373106854.0;1565371627.0;24858129744.0;6846827205.0;18011302539.0;845918347.0;3179554809.0;3044936470.0;10940892913.0;4058920788.0;3607693917.0;451226872.0;432089937.0;1655755.0;17.6;20.9;2142438675.0;887877893.0;221929750.0;7692745552.0;;1028586116.0
2014-08-24;8;26031801708.0;298803333.0;1738849199.0;25881351464.0;7320823077.0;18560528387.0;874196663.0;3259133959.0;3126866430.0;11300331333.0;2141966739.0;1705968257.0;435998483.0;417139452.0;1655491.0;16.7;20.3;446515543.0;845948333.0;254764451.0;8195019740.0;;849495450.0
2014-09-16;9;34582328313.0;358993104.0;2161521736.0;34017986251.0;13147639013.0;20870347238.0;1660843668.0;4475915685.0;3977077480.0;10756510405.0;2263986362.0;1880494333.0;383492029.0;372837549.0;1623790.0;19.6;17.5;829421763.0;704635587.0;307813584.0;14808482681.0;;729939785.0
2014-09-19;9;34605850458.0;356172417.0;2163996435.0;33926267416.0;12784495410.0;21141772006.0;1622065151.0;4409079016.0;4132477316.0;10978150523.0;2146601518.0;1762521299.0;384080220.0;373430912.0;1623815.0;20.6;17.1;707314393.0;664687327.0;306015709.0;14406560561.0;;774597650.0
2014-09-25;9;35113146083.0;376136354.0;2202532012.0;34397778527.0;12801737433.0;21596041094.0;1701060078.0;4491904334.0;4150187562.0;11252889119.0;2195943505.0;1837713785.0;358229720.0;347806474.0;1624068.0;15.4;16.3;704097293.0;715333050.0;332642694.0;14502797511.0;;776502868.0
2014-09-29;9;34386969563.0;391893271.0;2154313272.0;33637882239.0;12272853578.0;21365028661.0;1512278781.0;4407409381.0;3892915267.0;11552425232.0;2112347907.0;1781681174.0;330666734.0;319499461.0;1623893.0;17.6;15.8;882617802.0;527674849.0;315228688.0;13785132359.0;;702053865.0
2014-09-28;9;27200831042.0;699320188.0;1838871049.0;27068662250.0;7926996589.0;19141665661.0;807384338.0;2902361428.0;3141209167.0;12290710729.0;2674134723.0;2315806778.0;358327945.0;347904789.0;1623913.0;17.2;15.9;1296803333.0;657653431.0;268112277.0;8734380927.0;;719673799.0
2014-03-15;3;36946346104.0;865946500.0;2592768630.0;38035510831.0;9244528564.0;28790982267.0;1176555152.0;4186618989.0;4782489730.0;18645318397.0;4940266141.0;4594964262.0;345301879.0;316392209.0;2130900.0;10.6;8.6;1979786689.0;533367100.0;392386285.0;10421083716.0;;2427113227.0
2014-03-16;3;33589979542.0;987578604.0;2296712296.0;34927222333.0;8034770880.0;26892451453.0;1094370383.0;3543762875.0;4108177430.0;18146140765.0;4994412053.0;4649430169.0;344981884.0;316392616.0;2130900.0;11.2;8.7;1953646385.0;642421701.0;372878361.0;9129141263.0;;2398345043.0
2014-03-18;3;41882670646.0;736255792.0;2646762075.0;42634150989.0;13064519204.0;29569631786.0;1896388098.0;5139359039.0;5300823320.0;17233061329.0;4554860891.0;4190156705.0;364704185.0;335708907.0;2134716.0;10.9;8.8;1598294503.0;543885609.0;420362681.0;14960907302.0;;2412682050.0
