NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07650;2016-01-01 00:00:00;1014.2;1018.1;9.1;2.8;12.8;5.5;9.5;9;3;109;31;31;31;31;31;31;;;;;0;2;0;;;;;;;;17;2;0;0;2;4;13.9;2016-01-28 00:00:00;4;2016-01-18 00:00:00;17.5;2016-01-08 00:00:00;-1.9;2016-01-18 00:00:00;2.4;2016-01-14 00:00:00;24.3;2016-01-16 00:00:00;0;0;6;18
07661;2016-01-01 00:00:00;1001.2;1017.4;10.1;2.3;13;8;9.6;30;3;;31;31;31;31;31;0;;;;;;;2;1;0;;;;;;21;12;0;;;;13.8;2016-01-08 00:00:00;5;2016-01-18 00:00:00;18.3;2016-01-08 00:00:00;2.7;2016-01-18 00:00:00;16.6;2016-01-02 00:00:00;27.8;2016-01-11 00:00:00;0;0;6;18
07690;2016-01-01 00:00:00;1013.2;1016.4;9.7;2.1;13.5;6.8;7.7;18;3;127;31;31;31;31;31;31;;;;;;;2;;;;;;;;13;1;0;;;;12.7;2016-01-11 00:00:00;5.4;2016-01-18 00:00:00;17;2016-01-30 00:00:00;2.5;2016-01-16 00:00:00;6.8;2016-01-14 00:00:00;20.1;2016-01-04 00:00:00;0;0;6;18
07747;2016-01-01 00:00:00;1013.7;1019.1;10;2.4;14.2;6.6;8.7;9;3;99;31;31;31;31;31;31;;;;;;;0;;;;;;;;13;6;1;0;1;1;15.4;2016-01-31 00:00:00;4.3;2016-01-18 00:00:00;19;2016-01-31 00:00:00;1;2016-01-18 00:00:00;3.8;2016-01-18 00:00:00;30.1;2016-01-12 00:00:00;0;;6;18
07761;2016-01-01 00:00:00;1017.4;1018.5;10.5;2.9;14.8;6.8;10.3;61;11;99;31;31;31;31;31;31;;;;;0;2;5;1;0;;;;;;10;0;0;;;;15.5;2016-01-10 00:00:00;4.1;2016-01-17 00:00:00;18.5;2016-01-08 00:00:00;-1.8;2016-01-17 00:00:00;12.1;2016-01-03 00:00:00;18.2;2016-01-06 00:00:00;1;0;6;18
07790;2016-01-01 00:00:00;1015.5;1017;10.4;2.2;15.1;6.3;9;11;6;136;31;31;31;31;31;31;;;;;0;1;0;;;;;;;;9;4;0;0;0;1;14.6;2016-01-12 00:00:00;5.3;2016-01-18 00:00:00;20.7;2016-01-11 00:00:00;-0.1;2016-01-18 00:00:00;2.2;2016-01-21 00:00:00;29.7;2016-01-11 00:00:00;0;0;6;18
61968;2016-01-01 00:00:00;1010.4;1010.9;28.2;1.3;30.9;25.7;31.1;;;;30;30;29;30;0;0;29;22;;;;;;;;;;;;;;;;;;;29.7;2016-01-02 00:00:00;25;2016-01-24 00:00:00;32.8;2016-01-03 00:00:00;22.8;2016-01-25 00:00:00;;;;;;;3;15
61970;2016-01-01 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;15
61972;2016-01-01 00:00:00;1010.8;1011.5;28.1;0.8;31.1;25.7;26.5;;;;30;30;29;30;0;0;29;27;;;;;;;;;;;;;;;;;;;29.5;2016-01-27 00:00:00;26.5;2016-01-08 00:00:00;32.9;2016-01-28 00:00:00;22.5;2016-01-08 00:00:00;;;;;;;3;15
61976;2016-01-01 00:00:00;;;;;32.2;27;;1;1;;0;0;22;0;5;0;;;;;;;0;;;;;;;;;;;;;;;;;;33.2;2016-01-02 00:00:00;26;2016-01-07 00:00:00;1;2016-01-02 00:00:00;;;;;3;15
