Maille géographique,Année,Nom IRIS,Code IRIS,Type IRIS,Nom commune,Code commune,Nom EPCI,Code EPCI,Type EPCI,Nom département,Code département,Nom région,Code région,Nb sites secteur résidentiel,Conso totale secteur résidentiel (MWh),Conso moyenne secteur résidentiel (MWh),Nb sites Agriculture,Conso totale Agriculture (MWh),Nb sites Industrie,Conso totale Industrie (MWh),Nb sites Tertiaire,Conso totale Tertiaire (MWh),Nb sites Secteur non affecté,Conso totale Secteur non affecté (MWh)
EPCI,2014,,,,,,CC du Pays de Pontchâteau St Gildas des Bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,16806,106500.460159838,6.33704987265486,8,1211.7771405432,41,23921.9985734335,91.0,23632.8740654761,,
EPCI,2013,,,,,,CU Nantes Métropole,244400404,CU,Loire-Atlantique,,Pays de la Loire,,351258,1684842.22925712,4.79659460925337,28,7135.83042463377,800,433226.986465477,3579.0,1112398.08372737,55,2412.47972572596
EPCI,2015,,,,,,Nantes Métropole,244400404,ME,Loire-Atlantique,,Pays de la Loire,,361501,1584585.04901674,4.38334900599651,30,7079.49212827424,842,419100.310105896,3755.0,1086483.12287138,48,1704.14974750391
EPCI,2013,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,25236,207031.475791895,8.20381501790675,17,1995.62014423137,71,18251.9294739761,184.0,32539.1236451508,0,0.0
EPCI,2014,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,25858,188825.235650633,7.30239135473094,17,2037.10292310263,74,17264.0780737504,189.0,31848.4438363607,,
EPCI,2011,,,,,,CC Cœur Pays de Retz,244400545,CC,Loire-Atlantique,,Pays de la Loire,,8173,59923.060311551,7.33183167888792,3,339.553274758645,20,8821.60506552433,58.0,9236.03617364432,0,0.0
EPCI,2013,,,,,,CC Cœur Pays de Retz,244400545,CC,Loire-Atlantique,,Pays de la Loire,,8664,68701.0023515602,7.92947857243308,3,415.359153261642,21,9944.57017692998,67.0,13176.543226314,0,0.0
EPCI,2011,,,,,,CC de Vallet,244400578,CC,Loire-Atlantique,,Pays de la Loire,,9083,61317.910401954,6.75084337795375,6,207.600107069277,34,31506.7548561949,59.0,19092.2036034215,0,0.0
EPCI,2012,,,,,,CC de Vallet,244400578,CC,Loire-Atlantique,,Pays de la Loire,,9213,65773.8516026496,7.13924363428304,6,164.137463237655,27,10367.3775885001,61.0,20278.9917677533,,
EPCI,2011,,,,,,CA de la Région Nazairienne et de l'Estuaire,244400644,CA,Loire-Atlantique,,Pays de la Loire,,74720,340119.416468134,4.55191938528016,,,194,241423.480128691,657.0,147864.299172283,19,179.738345340869
EPCI,2015,,,,,,CC Sèvre Maine et Goulaine,244400651,CC,Loire-Atlantique,,Pays de la Loire,,6518,46634.7869942663,7.15476940691413,6,2476.75107092655,29,25868.4544012187,48.0,11224.1983557823,0,0.0
EPCI,2011,,,,,,CC Loire et Sillon,244400693,CC,Loire-Atlantique,,Pays de la Loire,,10639,74927.7663567603,7.04274521635119,,,34,16829.7434246624,80.0,16865.7949281608,0,0.0
EPCI,2013,,,,,,CC Loire et Sillon,244400693,CC,Loire-Atlantique,,Pays de la Loire,,11028,86034.0187698316,7.8014162830823,,,34,19277.4442961652,88.0,18492.0711585013,0,0.0
EPCI,2012,,,,,,CC Cœur d'Estuaire,244400701,CC,Loire-Atlantique,,Pays de la Loire,,5189,45209.97173045,8.71265595113701,0,0.0,3,99.1110719899455,32.0,17825.6319459139,0,0.0
